Year,Geography,Geography_District,Value
2014,,Upper Denkyira East Municipal,11.22
2014,,Upper Denkyira West,15.73
2014,,Twifo Heman Lower Denkyira,21.56
2014,,Ekumfi,5.45
2014,,Awutu Senya East Municipal,14.9
2014,Brong Ahafo Region,,16
2014,,Asunafo South,13.04
2014,,Asunafo North Municipal,31.84
2014,,Asutifi North,26.32
2014,,Dormaa Municipal,10.64
2014,,Dormaa Central Municipal,13.98
2014,,Tano South,11.94
2014,,Tano North,12.48
2014,,Sunyani Municipal,14.02
2014,,Sunyani West,13.4
2014,,Berekum Municipal,19.51
2014,,Jaman South,11.21
2014,,Jaman North,9.47
2014,,Tain,16.11
2014,,Wenchi Municipal,10.94
2014,,Techiman Municipal,17.99
2014,,Nkoranza South,15.88
2014,,Nkoranza North,7.15
2014,,Atebubu Amantin,11.6
2014,,Sene West,12.37
2014,,Pru,19.73
2014,,Kintampo South,12.57
2014,,Kintampo North Municipal,16.96
2014,,Asutifi South,10.75
2014,,Dormaa West,9.74
2014,,Techiman North,29.05
2014,,Banda,31.8
2014,,Sene East,7.88
