Year,Value
2008,18.63299598
2009,18.80250437
2010,19.13652223
2011,21.5794219
2012,22.13149174
2013,15.74731147
2014,15.92038516
2015,17.7608524
2016,15.65865506
2017,16.16771421
2018,15.84742455
